,AveExpr,Coef.B8vsN8,Coef.B28vN24,Coef.N24vN8,Coef.B28vB8,t.B8vsN8,t.B28vN24,t.N24vN8,t.B28vB8,P.value.B8vsN8,P.value.B28vN24,P.value.N24vN8,P.value.B28vB8,F,F.p.value,Results.B8vsN8,Results.B28vN24,Results.N24vN8,Results.B28vB8
Beta 2-glycoprotein ,12.0110343225838,-0.405052695806431,-0.632258522012195,-0.35423988479938,-0.127034058593615,-1.29836814971621,-2.08501766331435,-1.33809171166655,-0.367952273052034,0.220267022189939,0.0607286463784757,0.207407571730019,0.719770323190584,2.52157708221083,0.110765025563263,0,0,0,0
BPI,10.2192764604,1.08895755574144,-0.240510711655572,-0.391394868192057,0.938073399204956,2.29793342319092,-0.576557056229506,-0.95113177894985,1.95923336541063,0.0417967381694368,0.575646270816017,0.361618129008468,0.075453626780244,2.05759067539257,0.163206963913428,0,0,0,0
C1q,13.4563028427923,-1.39709763843261,-1.30803169549706,-0.18602397393572,-0.275089916871275,-5.15662326915025,-4.49945317440513,-0.627552445343374,-1.03939458664312,0.000297609588516832,0.000863223329714252,0.542883654654897,0.320546644853968,16.0507035802395,0.000229641394456195,-1,-1,0,0
CENP-B,12.7036338473843,0.261339874600516,-0.714992606662429,0.469364087456258,1.4456965687192,0.640749322548189,-1.96707934390929,1.27825003396763,3.57380255594463,0.534580000946127,0.0744455949912755,0.22702412565906,0.00424891310659042,5.21872540510188,0.0170597045303135,0,0,0,1
Chromatin,7.81639783117494,-0.445369504256086,-1.43176232832162,-0.733192383018655,0.253200441046879,-0.339234471089208,-1.12777468563566,-0.593287380372947,0.188299609697398,0.740710625387996,0.283002624194458,0.564781013479186,0.854011266632676,0.488742636663464,0.696984937164525,0,0,0,0
Collagen IV,10.0054761441628,-1.84575116695618,-1.7463873476759,-0.293087384109368,-0.392451203389646,-4.0682986991789,-3.8736955006678,-0.633085215603296,-0.889269939273624,0.00179133923736995,0.00250883766576313,0.539393467379491,0.392563445576329,10.9072732542792,0.00119676369197744,-1,-1,0,0
Collagen V,9.48548937868817,-0.487440668715623,0.292657782528618,-0.304320514255451,-1.08441896549969,-0.648164482726775,0.395900655232427,-0.428124384579037,-1.39219229169424,0.529946464872749,0.699618281335549,0.676679882229095,0.190897417577716,0.730889903710107,0.554476227780502,0,0,0,0
Collagen VI,16.0903184403675,0.0636681718509475,-0.417988201742517,0.205841227201299,0.687497600794764,0.131005778307175,-0.792347474005888,0.381256515497505,1.45590177262087,0.898095044717725,0.444622333099976,0.710148533211157,0.172880830251959,0.801753820833207,0.51808338721374,0,0,0,0
dsDNA,10.7667618278035,-0.911534522699972,0.287225851733275,0.952734083529029,-0.246026290904219,-0.690496463572605,0.243816127177707,0.798985922489358,-0.188218038601069,0.503944701061086,0.811783121005145,0.440918496664534,0.854073700745687,0.24926953261012,0.860221695299374,0,0,0,0
Elastin,5.51679215488256,1.49021554874042,1.56978694199303,0.748699532926365,0.669128139673759,2.1198674520687,2.34795987521178,1.18506228559536,0.908869368173752,0.0571538045003194,0.0382502269655515,0.260536497134363,0.382566140387621,4.06826778720459,0.0353162016218734,0,0,0,0
Entaktin EDTA,10.4565441767431,0.212000580479563,0.267033369995868,0.343419173690203,0.288386384173897,0.35787091818894,0.524222243707171,0.676716018797795,0.48547317931445,0.72709521430933,0.610344757576597,0.51232427844344,0.636701123853893,0.360123412530576,0.783005847196995,0,0,0,0
Fibrinogen IV,10.8972024871425,0.260516803591834,-2.09925777544752,-1.22474838262974,1.13502619640962,0.451175359451136,-3.62428691518718,-2.31936380576666,1.81734203130052,0.660476493276116,0.00388600374049522,0.0402403265618423,0.096000452273888,4.53009818015199,0.0260833493848212,0,-1,0,0
Fibrinogen S,11.1477995725435,0.78643376135186,0.802032087358349,0.422987136696234,0.407388810689746,1.11582207091486,1.19728814984559,0.685308097965132,0.54221513965422,0.287873650576475,0.255928272778534,0.50708993714089,0.598296102759949,1.14498314709728,0.373205787623203,0,0,0,0
Fibronectin,11.5657206397724,0.434896941535008,-0.97148909501434,-1.14636936777422,0.260016668775132,0.459024537799063,-1.00868610074203,-1.43088700746388,0.239021998431738,0.654999588473019,0.334427138310123,0.179775457589697,0.815407339847906,0.697305715303481,0.572563284573893,0,0,0,0
Gliadin_IgG,11.4018540161682,-1.30549302568395,-1.20471532559609,0.872382087283352,0.771604387195485,-0.659148150702272,-0.704152503317387,0.500435269968573,0.395260388601412,0.523125960196832,0.495722544189613,0.626459249654062,0.700077329198195,0.44362741819402,0.72648073424958,0,0,0,0
Glycated Albumin,11.4343051233469,-1.8920501050762,1.3750928573147,-0.688439039130007,-3.95558200152091,-1.49151848190515,0.929457676078077,-0.5496005261433,-2.64948555094842,0.163453155376649,0.372257236479258,0.593386377558741,0.0223081302543942,2.60993508943328,0.103142984869123,0,0,0,0
GP2,10.4056444840476,-0.18819397424167,0.142013408241672,0.216577433938122,-0.113629948545221,-0.434845822356875,0.370970558351847,0.573251660245145,-0.259925093005219,0.67193702252691,0.71758295029022,0.577806154451055,0.799639304670223,0.128971368396887,0.94092067876615,0,0,0,0
Heparan HSPG,8.67720306625623,0.492743572802585,0.169928461240611,0.448890020567884,0.771705132129858,1.1576358873185,0.425995223699011,1.14869833606834,1.78177760915109,0.271111493002865,0.678185349514029,0.274629075821796,0.101895424982725,1.92686531461674,0.182785890726273,0,0,0,0
Hinstone H3,6.83810009309363,-0.642398843192669,-1.18172003297952,0.472931866083869,1.01225305587072,-1.34893255611228,-2.72042449022045,1.08941034936083,2.12446459720633,0.204007632274152,0.0196350214985317,0.298864893752607,0.0566973466080208,4.72275417902982,0.0230891752040463,0,0,0,0
Hinstone H4,6.4130804502246,-0.258939333065521,0.996423870690927,0.865840295241204,-0.389522908515243,-0.447817840118961,1.81508991140376,1.68504651982799,-0.638923603097405,0.66282562677609,0.0963643578657572,0.11961729658314,0.535724407444228,1.37061137209996,0.30194524610643,0,0,0,0
Histone-total,8.48320410633473,-1.05238854412128,-1.24458693898205,-0.365092605009016,-0.172894210148252,-1.42937066865843,-1.72748504236614,-0.516846408682796,-0.230594466597227,0.180200772846849,0.111527489371319,0.615319117236885,0.821789169165144,1.76829614000438,0.210223113935993,0,0,0,0
Histone H1,10.6697162595476,-2.48027429057496,-0.59137212068579,-0.300248125259008,-2.18915029514818,-3.72869487028545,-0.95199288223501,-0.487422472340357,-3.26735887195364,0.00323318094248141,0.361199961921911,0.635362239789962,0.00733608468432668,7.28771305381129,0.00559499178557303,-1,0,0,-1
Histone H2A,10.577414351944,-0.889667098003752,0.0859628149775453,-0.14537758362926,-1.12100749661056,-1.77247125335482,0.182200021860985,-0.320458685173562,-2.16244449690894,0.103491194341722,0.858682703224346,0.75452199560592,0.0530560657905599,2.04957034338108,0.1643367973052,0,0,0,0
Histone H2B,10.8379641762753,-0.273144054132901,-0.471491517966864,-1.25451343545686,-1.05616597162289,-0.377360930644078,-0.653979869518963,-1.91709743412628,-1.34623792776987,0.712960515445046,0.526328895853456,0.08108685180679,0.204848394641293,1.98209607651095,0.17420405439916,0,0,0,0
Intrinsic Factor,12.3811486598241,0.70541537949179,-0.686471515218377,-0.649513077564297,0.74237381714587,1.82732725659792,-1.95575116293398,-1.95369811526367,1.84614554612537,0.0944020219600309,0.0759050562054572,0.0761723835613875,0.0914553714513261,2.40053951269607,0.122286366656285,0,0,0,0
Jo-1,13.8430063755598,0.982429931153217,-0.519849204539009,-0.241555028632028,1.2607241070602,2.51335524427025,-1.31946238221228,-0.580786262109193,3.43083197446399,0.0284803153158978,0.213359286366062,0.572889077007034,0.00547745680177004,4.15532237183061,0.0333151921524439,0,0,0,1
KU (P70/P80),11.5697631572098,1.04980329864336,1.68501569564292,0.0864031536063301,-0.548809243393224,1.7921590755229,2.74477849830546,0.158653751052254,-0.843410774844053,0.100141606336372,0.0187925113922922,0.876767176763921,0.416653611230847,3.66798201087558,0.0465334368737059,0,0,0,0
La/SSB,12.7665452384151,0.349078667354297,0.717982808733241,-0.451055595967306,-0.819959737346251,0.779225043876725,1.41722907874365,-1.00226612810895,-1.62436906400591,0.452003064871132,0.183637090509251,0.3373840443419,0.132090762281338,2.02009842327903,0.168566005488509,0,0,0,0
Laminin,5.9975534182564,-0.605038301012708,0.807668104828425,2.06846299879906,0.655756592957926,-0.479503251682222,0.70814278493008,1.84294496210338,0.513112931679488,0.640810002888205,0.493335501687726,0.0919505315329234,0.61784474148388,1.1979514649204,0.354969181682939,0,0,0,0
LC1,12.5464751800491,0.679365398226972,1.90508970289557,0.194308728694764,-1.03141557597383,1.54639813804735,4.01283007017162,0.465776939253482,-2.08650760287748,0.149791198079175,0.00197100207533479,0.650304819194034,0.0605715929046636,6.63811081955145,0.00776114290273851,0,1,0,0
M2,9.8494995894666,0.312640605081226,-1.91949407335087,-1.3670180084163,0.8651166700158,0.296434360783878,-1.85997836468981,-1.31585952586118,0.825576522587231,0.772324771082701,0.0893432124344607,0.21452637558708,0.426285393218676,1.21715388272091,0.348597904451534,0,0,0,0
MAG-myelin-associated glycoprotein-FC,15.4336148871791,0.535415237688337,-0.00226652585367582,-0.308060458692985,0.229621304849028,1.17475749650489,-0.00467484393662335,-0.59924476506476,0.543479294793356,0.264471148265222,0.996352282851773,0.560939341184825,0.597454217574222,0.453384298063152,0.720032889689595,0,0,0,0
Matrigel,8.91442440156404,0.22614229581152,1.67079533919997,0.608613420855537,-0.836039622532917,0.539887559237768,4.14291235069075,1.61803041975577,-1.88549142104047,0.599847795785027,0.00157612278382464,0.13345785681733,0.0855643631701413,5.77098360711965,0.0123956718668827,0,1,0,0
MBP_myelin basic protein,6.9470858606725,-1.17054936720577,-0.413182778105639,0.463020906057207,-0.294345683042921,-1.54467115419055,-0.567780525087892,0.658964495234536,-0.376836260498355,0.150205574083351,0.581390742048045,0.523239581414236,0.713339583289988,0.925796681794913,0.459977363175097,0,0,0,0
Mi-2,6.35393021840814,0.163384502598602,0.778791032975427,0.352421746719623,-0.262984783657202,0.228180716337835,1.12679108843604,0.551205143202783,-0.344837141820941,0.823619504442819,0.283401054251902,0.592322428580394,0.736607438584251,0.447288480609198,0.724057023036126,0,0,0,0
Mitochondrial antige,10.3445720339425,1.57512822205175,1.18174666964401,-0.389521962686347,0.00385958972139555,2.70845718090793,2.1309287430233,-0.796432029667751,0.00605315224545499,0.0200626345866521,0.0560613386402392,0.442341020681097,0.995276820302101,4.08674404805432,0.0348800203456492,0,0,0,0
