,AveExpr,Coef.NTvBT,Coef.nTvBT,t.NTvBT,t.nTvBT,P.value.NTvBT,P.value.nTvBT,F,F.p.value,Results.NTvBT,Results.nTvBT
BCOADC-E2,8.28934527521361,-4.4681148972926,-3.36806237054349,-4.64552040609024,-3.3436735023714,0.000126367387953896,0.00295711665725741,11.9254282715404,0.000314551877906549,-1,-1
BPI,4.7157177331602,-0.22451917966267,0.519947538879256,-0.259530745137459,0.55966896717959,0.797652741303696,0.581391551706434,0.308278843169805,0.737850411571467,0,0
Cardiolipin,7.10092518396595,2.47924372500658,3.21365296206459,1.75693295424469,2.17497973701392,0.0929198132090684,0.0407252188696473,2.78577453729929,0.0836037153617907,0,0
CENP-A,7.22665959751696,-3.76279342677219,-4.01484164829171,-4.38904540477788,-4.38501505886685,0.000235950988435862,0.00023827983595115,13.4927264598131,0.000152315826422622,-1,-1
CENP-B,6.7157817685201,-3.36345215104832,-0.0806873197887636,-3.19799407747012,-0.0729240138801685,0.00417220212958362,0.942529298842257,6.13164529614206,0.00768886487715032,-1,0
COL3  ,6.98407172412326,-8.96544609114383,-10.236274492293,-6.98826698643469,-7.42605502024368,5.32784404248206e-07,2.05848855043409e-07,36.4990672165545,1.07343703320474e-07,-1,-1
COL5,10.0354435920494,-4.8360684933725,-5.57370521438868,-5.28489049487875,-5.66898707045184,2.69829371475304e-05,1.08308746227839e-05,21.0940452957413,7.86986258268955e-06,-1,-1
C1q,11.257080057354,-2.09600596226642,-2.08072439866778,-2.10463415130381,-2.00253178005389,0.0470409830327495,0.0577766391693346,2.96107669979474,0.0727666106920939,0,0
C3,7.58727760981556,0.347265688701061,1.62659419838612,0.258700693691325,1.16839965583765,0.798284950250678,0.255222400699588,0.717634294093291,0.499038274866583,0,0
C4,7.33941610930977,-0.555121652876997,-1.3140864043692,-0.445116664522464,-0.995310311825312,0.6606090661988,0.330468821479666,0.495583541064634,0.615891981384144,0,0
CytC,3.89956671974864,-4.73443505565663,-4.73754739191762,-4.04452762794417,-3.7901865609988,0.000546169297870222,0.00101267064447909,10.7865170190834,0.000550060583155994,-1,-1
DFS70,6.30120010666931,-7.17657779558487,-6.12822987490332,-8.33169910537823,-6.58551630914087,3.12216585051324e-08,1.30653892069202e-06,40.3297807097129,4.59087811776698e-08,-1,-1
dsDNA,11.9779339367546,2.58964631937765,2.75762859996256,2.39368081796791,2.50505785141483,0.0256967264146258,0.0201925329530768,4.21138254929484,0.028363532535925,0,0
FBG IV,17.5429986092615,-0.0713513135527748,-0.354755076288669,-0.112150742555627,-0.52631608172931,0.911726693746337,0.603964807530423,0.146207254391414,0.864815894233585,0,0
FBG S,15.5232410462154,-0.276536465054354,0.31102555101975,-0.385320473961101,0.430167987886389,0.703721458533834,0.671281791145986,0.290198700322774,0.750950517703094,0,0
GAD65,12.1235382320886,3.99590619428065,3.4863198903722,3.53462096780721,2.96744133054646,0.00187483219147318,0.00713909939793778,7.54990591727987,0.00321164008974385,1,0
GBM,8.07468774308383,-6.93491140526094,-8.34464228699484,-6.79441121951169,-7.61714974972223,8.18334153658006e-07,1.37008789575604e-07,36.6966074056462,1.02573994164461e-07,-1,-1
gDNA,13.7705870928,3.03720583487564,3.22113454880872,3.13980519455616,3.26313289930172,0.0047824976738774,0.00357847684555708,7.19212667075289,0.00397698161924171,1,1
Gliadin,9.01584458824855,4.02551691801366,4.06667850165361,2.90150800606036,2.80908462555395,0.00830773221183055,0.0102572913698283,5.7193069135135,0.0100465632097565,0,0
GP2,14.1164191778362,3.30483876799067,4.3545787785174,4.19888493400069,5.50844478555198,0.000375049768387531,1.58359444989146e-05,17.263182022786,3.16956267085804e-05,1,1
GP210,8.64877658770059,1.11413191295949,4.78065755185464,0.788920245320146,3.35052648331121,0.438626212739346,0.0029093874002166,5.86312870666032,0.00914491547222634,0,1
Histone,12.9056274686486,-0.576571494351741,-0.0663368100666819,-0.689820280428827,-0.078917858202378,0.497561018408361,0.937815463860702,0.26623311845717,0.768707741123057,0,0
HSPG,9.96942751366259,-0.507614227074789,0.744844105931106,-0.529300319159682,0.747881319568505,0.601927989312628,0.462497036112705,0.719320903265363,0.498249099980642,0,0
IA-2,10.2181434642778,5.70429430867799,5.58405973546995,4.91920458563563,4.60583678752518,6.50625303319015e-05,0.000139171017625642,15.9440759915435,5.35240145632799e-05,1,1
IF,7.7592019204214,2.27697496809516,5.20419962041812,2.34409634756941,5.22861081914269,0.0285686991895633,3.08775781985047e-05,13.677212658141,0.000140284527337405,0,1
Jo-1,10.6835663264806,6.19675500147634,6.18982833367518,5.14429077003772,5.09261310632831,3.78067598360777e-05,4.28123409494628e-05,18.3680483736732,2.08186810195977e-05,1,1
KS,7.50189812764996,4.20903516719644,4.98253553220396,3.39412614449931,3.84505623903141,0.00262285581585916,0.000886640468074203,9.27358400972364,0.00121144031788189,1,1
