"","X","t.NTvBT.x","t.nTvBT.x","P.value.NTvBT.x","P.value.nTvBT.x","t.NTvBT.y","t.nTvBT.y","P.value.NTvBT.y","P.value.nTvBT.y"
"1","BCOADC-E2",-3.9346558107314,-2.79532829500443,0.00072969155314197,0.0106753193391997,-4.02217704152975,-2.9524422638507,0.000667820767104554,0.00787303322883354
"2","CENP-A",-3.81130081634636,-3.97038852582869,0.000982395342815971,0.00066937787125514,NA,NA,NA,NA
"3","CENP-B",-3.62460345032546,-0.405626615315884,0.00153799221242706,0.689015586074338,-3.35508050809834,-0.349651514201837,0.00315069696004322,0.730254660997316
"4","COL3  ",-6.33405335222722,-6.80357486879574,2.47558499906254e-06,8.67743381160997e-07,-5.25939631087861,-5.71759628092692,3.79548788222277e-05,1.35200508113378e-05
"5","COL5",-4.96026575808107,-5.29559123955033,6.1331280685125e-05,2.75596704923225e-05,-4.48522083092641,-4.75327288326406,0.000226369107585677,0.000121417130497373
"6","CytC",-3.69295308292631,-3.52154462837949,0.0013056267028244,0.00196727394856418,-6.05906797435022,-6.17333909895006,6.36063091549602e-06,4.95765072181175e-06
"7","DFS70",-7.39759399662109,-5.91438512517052,2.39993251950104e-07,6.46445581466701e-06,-4.81589263769474,-3.41198408046953,0.00010503622287435,0.00276348648000497
"8","dsDNA",2.27072346126085,2.34405200533308,0.03352261687107,0.0287211487991672,NA,NA,NA,NA
"9","GAD65",3.01118132040024,2.49128448006769,0.00652293752306715,0.0209386804015573,3.17985541987849,2.0627235487044,0.00470705935521509,0.0523650698020974
"10","GBM",-5.93427899225231,-6.8263659551295,6.17407702444589e-06,8.25282452382012e-07,NA,NA,NA,NA
"11","gDNA",2.69246876399637,2.8763699988822,0.013446659437235,0.00888377288902608,2.78574381716487,3.19801075134377,0.0114100028197478,0.00451612064285893
"12","Gliadin",2.74845275265475,2.62218613820872,0.0118633639182935,0.015717754240023,2.2826246569236,2.20179419673088,0.0335302993130184,0.0395819182259385
"13","GP2",3.87422692843449,5.1719963794906,0.0008442046210982,3.69739275854757e-05,1.79708761637377,3.91156858581275,0.0874381357088303,0.00086488727000846
"14","GP210",1.04041015282869,3.45956254164347,0.309680688713127,0.00227999221860635,2.28440169029671,3.74065224329891,0.0334073573885421,0.00128891049912976
"15","IA-2",4.20697165222864,3.90106901067012,0.0003777424812222,0.00079129012064806,4.61982991316918,3.93514433432235,0.000165483774318395,0.000818522875924492
"16","IF",2.01757358125593,4.47167346478318,0.0562576880236132,0.000199062001392741,1.3381343597857,3.70900860870403,0.195866824839568,0.00138753998955996
"17","Jo-1",4.44210134794543,4.44077095695939,0.000213822224253978,0.000214511481859125,4.24280937336755,3.60579981731794,0.000398645262715257,0.00176411020866283
"18","KS",3.23397150652613,3.5148120183089,0.00388453091374392,0.00199909279037259,1.80321908261924,2.85774164044812,0.0864397342829182,0.00972727417523161
"19","KU P70P80",2.06186652240088,2.08743396466868,0.0514828676663068,0.0488949312055866,NA,NA,NA,NA
"20","La SSB",1.85676926839892,4.75370708537545,0.0770653283318389,0.000100758002804704,-0.23492812508203,2.08893044899591,0.816652752996789,0.0497030735779851
"21","Laminin",-2.44595435257813,-2.16397005452411,0.0230962650686377,0.0418325224989007,-2.82676725607423,-2.26505322165528,0.0104198570532895,0.0347685528503516
"22","LC1",1.89731704236964,2.35647368287369,0.0712651089954336,0.0279734571332713,NA,NA,NA,NA
