"","AveExpr","Coef.NTvBT","Coef.nTvBT","t.NTvBT","t.nTvBT","P.value.NTvBT","P.value.nTvBT","F","F.p.value","Results.NTvBT","Results.nTvBT"
"BCOADC-E2",9.06619026209454,-2.95763574013292,-1.03370077090047,-3.13182184740812,-1.24800418336158,0.0075166718908434,0.232932875800018,4.91044509018078,0.0246586433411968,-1,0
"CENP-A",11.1487643039736,-5.09592146597943,-1.08733627532424,-4.25735324788097,-1.38519770712135,0.000833948830950027,0.188126668548422,9.07907765700619,0.00308484175274837,-1,0
"CytC",5.0821403969865,5.43573400291439,2.09863883721465,4.09671795148037,1.88283112606058,0.00113575887316126,0.0811255292356119,8.47791901211764,0.00401511387666294,1,0
"DFS70",7.92783230221653,-2.46197232955578,-3.77318767079343,-2.02117134156766,-3.52963302110325,0.0632436190851005,0.00343343697649559,6.53856399316399,0.0101436001856619,0,-1
"GBM",6.94575909023444,-1.55269146226334,-1.84231621199106,-2.2073184142026,-2.84436765545815,0.044875272270726,0.0132193739394544,4.83321261653071,0.0257972089619203,0,-1
"Gliadin",6.63350998777266,3.39169209214076,2.26059658666457,2.77076575915369,2.02146085428704,0.015263261776561,0.0632103109445163,4.42676470451879,0.0328793319641182,1,0
"GP2",8.29845988730872,2.66028683640605,3.91204828631466,2.23009986364315,3.89580716877287,0.043005889689768,0.0016766290950299,7.96489170241255,0.00506978516076651,0,1
"Histone",18.1694132428743,-0.438158268949159,-0.663613062040248,-1.58138511110426,-2.64278645896912,0.136588007826147,0.0195749948335113,3.71134434429989,0.0515147891474815,0,-1
"IF",7.7091345668961,8.62094644076271,12.9724372638087,3.98286114225754,8.93228097910779,0.00141570337894463,4.37893558270322e-07,40.1929407667718,1.84904285943692e-06,1,1
"PR3",4.32500200024687,2.73959825756835,0.990598965281362,2.63961512231424,1.14834770078481,0.0196956232910915,0.270475701961415,3.5034218655394,0.059032303552698,1,0
"Scl70",9.5255681649235,-6.72512358909202,-3.3558889455051,-6.22119923359543,-3.22401669706732,2.45734297573305e-05,0.00626816672991275,19.8749186896518,8.90344504795314e-05,-1,-1
"Sm",9.07802259677951,-3.60356186356062,-5.77767770986153,-2.19160974743867,-4.12040062511092,0.0462083374795464,0.00108503494681168,8.76118181857867,0.0035417153880749,0,-1
"ssDNA",10.9686526492847,4.2383642093256,5.79731726352413,3.63282966743249,5.62527150412399,0.00280346255060212,6.7820430678504e-05,17.2598307128004,0.000180290029218841,1,1
"TPO",8.75418799200094,-6.46807295916101,-5.30514389199447,-6.43172464682946,-5.34184193602843,1.73708233793417e-05,0.000111824486837196,25.8527104121142,2.2330574694133e-05,-1,-1
