,AveExpr,Coef.NTvBT,Coef.nTvBT,t.NTvBT,t.nTvBT,P.value.NTvBT,P.value.nTvBT,F,F.p.value,Results.NTvBT,Results.nTvBT
BCOADC-E2,8.3075252773696,-4.54602699842011,-3.45141086860087,-4.70855789604802,-3.48303821425902,0.000129096464793413,0.00229927942214862,12.4153525236388,0.000298836185332067,-1,-1
BPI,4.75480221176644,-0.0934733587502308,0.687293759457027,-0.10814753020168,0.763091940457346,0.914937820711084,0.454164003501877,0.406012469471257,0.671580355326585,0,0
Cardiolipin,7.13299643590396,2.37036411993603,3.39908404107733,1.62007753548196,2.24459925682231,0.120608480864378,0.0360578061111018,2.78771993375366,0.0851084394179853,0,0
CENP-A,7.28899428088067,-3.67240080436323,-3.78455714540415,-4.37412803196819,-4.32221236848199,0.00028311350813525,0.000319930470802767,13.255917483826,0.000206057559106235,-1,-1
CENP-B,6.78810086108523,-3.35101837285139,0.017170424313866,-3.13184512611328,0.0156805209868779,0.00517379489714494,0.987641976633478,6.01979891165669,0.0088357369689417,0,0
COL3  ,7.19956699106444,-8.76770320419509,-9.76097679011524,-6.89799127628355,-7.1183015587388,9.65591433104092e-07,6.09279363056672e-07,34.4533381714737,2.92883209022179e-07,-1,-1
COL5,10.0476146553309,-4.95488104005686,-5.42356729615032,-5.50429789168995,-5.62532358235053,2.05274710001243e-05,1.55988105929441e-05,21.7163442589661,8.94694247089831e-06,-1,-1
C1q,11.2470072868536,-2.14775290878117,-2.14707962588248,-2.19856412769412,-2.10508518755357,0.0396313052507851,0.0478979425210539,3.24998402983282,0.0595841996619934,0,0
C3,7.54006461383672,0.778608787255444,1.92477524998448,0.565192322197899,1.37304554745259,0.578121141318195,0.184678960781806,0.942878281955053,0.405871679621388,0,0
C4,7.34124169403914,-0.356281973729936,-1.03586535353449,-0.280297984999529,-0.793763007152633,0.782078360551743,0.436491423449962,0.317097254319445,0.731793596070115,0,0
CytC,3.84335336921854,-5.11113971319446,-4.39631060429347,-4.47636250235612,-3.50069480249028,0.000222586288580166,0.00220660819755003,11.5676863409718,0.00044100470334013,-1,-1
DFS70,6.37891270015068,-7.16894472899168,-5.71902963373579,-8.10442132491379,-5.97517068871612,8.402405994228e-08,7.11782925619236e-06,36.719878881144,1.76918234801238e-07,-1,-1
