,AveExpr,Coef.NTvBT,Coef.nTvBT,t.NTvBT,t.nTvBT,P.value.NTvBT,P.value.nTvBT,F,F.p.value,Results.NTvBT,Results.nTvBT
ACAN,3.71172297846392,2.46682110230916,1.89334782553328,3.00899207991828,2.16648222892559,0.00550825522447641,0.0389764175783691,5.00397224546125,0.0139016541509476,1,0
BCOADC-E2,7.80813031820497,2.58864987392886,2.99800438807277,3.23970454878609,3.51970035298243,0.00308912781440449,0.00150396321107199,8.04200515383572,0.00174816906504546,1,1
BPI,8.27761372487247,3.48780064610637,4.69078290157979,4.47513377716978,5.6460021360737,0.000117220019410579,4.83435260776617e-06,18.5513294313223,7.5321446116987e-06,1,1
Cardiolipin,6.10334647244018,1.44246773147967,2.96902875557732,1.76691613956283,3.41165864417729,0.0881888895128953,0.00198958599379542,5.87926401419409,0.00740644502809538,0,1
CENP-A,5.27135573828279,1.43589749225421,3.47201341504144,1.55800279923109,3.53400799106412,0.130512534396891,0.00144899154512215,6.2462017755882,0.00573518303693582,0,1
CENP-B,6.64412483051749,0.313252515205423,2.61052036020476,0.393308332953548,3.07473011764398,0.697083253810123,0.00467846165782069,5.24171251881063,0.0116832064900798,0,1
COL3  ,5.9040224338506,-0.154333801704727,0.905009277272012,-0.194094354021045,1.06769255749659,0.847509260757321,0.294817128019478,0.827669941225972,0.447521302943799,0,0
COL5,6.45147499114296,-0.999337231968055,0.198546736376616,-1.17920860681443,0.2197772126416,0.248280266415761,0.827645867793476,1.01435281732836,0.375631349087093,0,0
C1q,10.5458727484593,-1.816358506775,-0.177144980653008,-2.41112511665134,-0.220591290900994,0.0227428117035849,0.827018073708291,3.30525668920104,0.0515042327350702,0,0
C3,9.15796592165537,-0.0654775870840005,0.608518596220685,-0.0841394367712374,0.733537168422376,0.93354681153549,0.469354475811049,0.365316543186701,0.697249521673594,0,0
C4,8.99979088119211,0.382615113797936,1.29827059733477,0.430989587079113,1.37186448715383,0.669789867746943,0.181044472120927,0.955494565967409,0.396859576775774,0,0
CytC,4.95922512177004,0.673998268613046,0.426577746563908,0.76991042696257,0.4571102420426,0.447827552611115,0.65113362957963,0.306522067544609,0.738450807239758,0,0
DFS70,6.2390340430628,0.327539320928658,-0.497703805326039,0.423757364009192,-0.604040573813837,0.674994232145467,0.550700465769213,0.466109357713062,0.632239812271951,0,0
dsDNA,6.81533159742027,3.90928187776117,1.31019281378359,2.75966834774802,0.867633786084578,0.0142878618366808,0.398858835766116,3.86626922907607,0.0434889633815862,1,0
Elastin,4.94011816298649,2.1723733455585,0.881901953063431,2.83125342581786,1.07821636661551,0.00850838855735148,0.290177633160243,4.01817286571434,0.0292820632834583,1,0
FBG IV,10.4846643314259,2.00011621727047,1.22941881997448,2.40172027361077,1.38486801854863,0.0232302016769588,0.177075405428045,2.96366976293599,0.0680712565702363,0,0
FBG S,9.9050608788445,3.04220408123348,3.38737371619501,3.73073052559533,3.8968167691526,0.000865046677039219,0.000556867188175651,10.2089202856835,0.000471409812216612,1,1
GAD65,10.1492217146165,3.04035334935639,4.28137904937048,3.78301556833872,4.99734213809167,0.000753381407374998,2.82413175216297e-05,14.1547861628857,5.71654119711745e-05,1,1
GBM,7.16634437090623,1.74658363509576,3.00744181588131,2.24767330053009,3.6306331615382,0.0326946892356959,0.00112565936572047,6.88982192684833,0.00370279339039065,0,1
