"","AveExpr","Coef.NTvBT","Coef.nTvBT","t.NTvBT","t.nTvBT","P.value.NTvBT","P.value.nTvBT","F","F.p.value","Results.NTvBT","Results.nTvBT"
"ACAN",3.71172297846392,2.46682110230916,1.89334782553328,3.00899207991828,2.16648222892559,0.00550825522447641,0.0389764175783691,5.00397224546125,0.0139016541509476,1,0
"BCOADC-E2",7.80813031820497,2.58864987392886,2.99800438807277,3.23970454878609,3.51970035298243,0.00308912781440449,0.00150396321107199,8.04200515383572,0.00174816906504546,1,1
"BPI",8.27761372487247,3.48780064610637,4.69078290157979,4.47513377716978,5.6460021360737,0.000117220019410579,4.83435260776617e-06,18.5513294313223,7.5321446116987e-06,1,1
"Cardiolipin",6.10334647244018,1.44246773147967,2.96902875557732,1.76691613956283,3.41165864417729,0.0881888895128953,0.00198958599379542,5.87926401419409,0.00740644502809538,0,1
"CENP-A",5.27135573828279,1.43589749225421,3.47201341504144,1.55800279923109,3.53400799106412,0.130512534396891,0.00144899154512215,6.2462017755882,0.00573518303693582,0,1
"CENP-B",6.64412483051749,0.313252515205423,2.61052036020476,0.393308332953548,3.07473011764398,0.697083253810123,0.00467846165782069,5.24171251881063,0.0116832064900798,0,1
"dsDNA",6.81533159742027,3.90928187776117,1.31019281378359,2.75966834774802,0.867633786084578,0.0142878618366808,0.398858835766116,3.86626922907607,0.0434889633815862,1,0
"Elastin",4.94011816298649,2.1723733455585,0.881901953063431,2.83125342581786,1.07821636661551,0.00850838855735148,0.290177633160243,4.01817286571434,0.0292820632834583,1,0
"FBG S",9.9050608788445,3.04220408123348,3.38737371619501,3.73073052559533,3.8968167691526,0.000865046677039219,0.000556867188175651,10.2089202856835,0.000471409812216612,1,1
"GAD65",10.1492217146165,3.04035334935639,4.28137904937048,3.78301556833872,4.99734213809167,0.000753381407374998,2.82413175216297e-05,14.1547861628857,5.71654119711745e-05,1,1
"GBM",7.16634437090623,1.74658363509576,3.00744181588131,2.24767330053009,3.6306331615382,0.0326946892356959,0.00112565936572047,6.88982192684833,0.00370279339039065,0,1
"GP2",8.85665050208334,0.283003276371749,2.3001701363407,0.34328849898218,2.61739390619039,0.733956567172857,0.0141537815572974,3.7903166755155,0.0349871669135233,0,1
"KS",7.95410126798899,2.69488800868559,0.640160480976961,3.4319099220588,0.764760335037039,0.00188827743885571,0.450839155946664,6.18726009002962,0.00597379918920423,1,0
"KU P70P80",8.52417029507769,2.87488842246873,1.45566757176798,3.82229321429558,1.81554303955905,0.000678894972353231,0.0802108535331666,7.3260392269582,0.00277365936463513,1,0
"La SSB",9.01895918945739,3.28023970039836,2.4013461432933,3.9057321182789,2.68221121960858,0.000543794582324783,0.0121519435834883,8.25919041456449,0.00152426725503454,1,1
"Laminin",6.12126680323124,2.08635390503515,2.73643783895447,2.56402754008264,3.15472588874,0.0160278436251985,0.00382904109706693,5.88400839831425,0.00738177363540062,0,1
"LC1",9.55267976364116,3.00990333909501,4.06416995061162,3.77348320564516,4.77972674878841,0.000772631135451654,5.11402584295039e-05,13.2633260105239,8.96084729878449e-05,1,1
"LKM 1",7.13627998974647,3.05902338196509,4.69443012186951,3.70698376228013,5.33656866755309,0.000920955039419555,1.12007188533747e-05,15.4917024038342,2.99008725286882e-05,1,1
"M2",8.08609333453715,1.96398688775643,3.40131640433765,2.18485939231913,3.54954984137452,0.037466674134833,0.00139148862400572,6.57506694594834,0.00457836663729741,0,1
