"","AveExpr","Coef.NTvBT","Coef.nTvBT","t.NTvBT","t.nTvBT","P.value.NTvBT","P.value.nTvBT","F","F.p.value","Results.NTvBT","Results.nTvBT"
"BPI",11.8360740010605,0.713738851523807,0.87802105720189,2.77911289609863,2.95036122275376,0.0154998223641978,0.0111442928705936,5.59134238385093,0.0174834943803343,1,1
"CENP-B",9.5279070599299,-1.25678440955847,-0.755679455267238,-3.36189398246027,-2.02545242442644,0.00502782347825419,0.063606509839056,5.77598526609574,0.0158347980034254,-1,0
"COL3  ",8.31649069151937,-1.62856751786382,-2.44097889900219,-4.66323792337419,-6.89133384506347,0.00043034520130318,1.03364500204475e-05,25.0317163048842,3.28148295305003e-05,-1,-1
"COL5",9.15418874634405,-1.31052524881614,-1.76620931793566,-4.05998072170906,-5.41564859140358,0.00132027556704361,0.00011320160296911,16.1246226729685,0.000289382134309028,-1,-1
"DFS70",8.81127141735385,-1.66711700364615,-1.3143617594198,-3.84136786333023,-3.12486161619628,0.00199983960080669,0.00795321019053997,8.48804770168867,0.00429241461888348,-1,-1
"Elastin",7.09260842507829,-1.42563583088133,-0.744026939563581,-2.98017378709228,-1.65535354974197,0.0105207737150806,0.121504205342276,4.48105288771071,0.0328030155827488,-1,0
"FBG IV",15.3966004188891,-2.44854101060398,-3.11167276465631,-3.29820514326839,-3.90867033770575,0.00568680921310857,0.00175911249064639,9.00099458389986,0.00344404227608362,-1,-1
"GP2",12.6891582295266,-1.28198429319755,-0.699458385155511,-3.16808912476955,-1.39103946469489,0.00731499168449296,0.187297143555274,5.02513678628159,0.0239180305411045,-1,0
"La SSB",12.8746287215064,0.665776905431727,0.228487699271787,2.78939055052359,0.808407905093828,0.0151967048240848,0.433234635778422,4.05528508525048,0.0424680681731104,1,0
"Laminin",8.78373369246771,-0.915881680260284,-0.686245272647094,-2.66167475608279,-2.02366465713647,0.0194124033144177,0.0638117760907759,3.92235672986645,0.0461315362224432,-1,0
"MBP",13.0731492899375,-2.35609572444384,-2.24542603834492,-5.66505059358984,-4.60530372451324,7.39552528390913e-05,0.00047839908302484,18.4528368464126,0.000152268981643838,-1,-1
"MPO",13.3922539167841,-0.896066543876209,-0.51008312347887,-3.66358080805986,-1.63762764019234,0.00281075198082191,0.125188740400536,6.71605021948101,0.00977514421668574,-1,0
"PCNA",11.4705422780379,0.893619583608617,0.901382110405033,2.53875145876625,2.25675735015551,0.0245346827586741,0.0416610794662937,3.94491438114024,0.0454849598693705,1,0
"PM Scl75",9.01639595573761,1.04999031774581,1.06578411625294,2.71946475628061,2.71732857582171,0.0173795612157539,0.0174508612700701,5.02219716275989,0.0239579250286799,1,0
"Ro SSA 52",10.4250537797904,1.22025202234625,1.11993378270632,3.75463272700296,3.24231964543447,0.00236046671961006,0.00633617026229816,8.44226410415065,0.00437920454623988,1,1
"Ro SSA 60",8.01574080945482,-1.20554530398792,-0.977907609667526,-2.92691329463618,-2.47239225227173,0.0116602692866006,0.0278201556480016,5.0508824328838,0.0235718801462019,-1,0
"Scl70",11.2786162708527,-1.16726207791626,-0.758071327737882,-5.42522046075761,-3.17925705729522,0.000111349377173567,0.00715859182535851,14.9650466433432,0.00040852949167686,-1,-1
"SRP54",10.2446493458116,-1.15415396536845,-0.824167286291701,-3.56690787867655,-2.50046117011185,0.00338501179167836,0.0263817724377259,6.79262432591054,0.00941275923097253,-1,0
"B2GP1",11.1492477188171,-1.93782568588065,-1.51901146573747,-6.75515314032035,-4.94789277760319,1.27314082458333e-05,0.000257387240430808,24.8152507006574,3.43318864649833e-05,-1,-1
"snRNP A",12.4278622924882,5.0654149454143,0.523254084389947,2.9077108504502,0.373607527978538,0.012100352992413,0.714648998390784,4.8665258292454,0.0261843963149006,1,0
