,AveExpr,Coef.NTvBT,Coef.nTvBT,t.NTvBT,t.nTvBT,P.value.NTvBT,P.value.nTvBT,F,F.p.value,Results.NTvBT,Results.nTvBT
BCOADC-E2,9.36179586109157,-4.66359582816499,-3.19809953025208,-3.9783640705404,-2.83775360353535,0.000731414344173859,0.0101223708893686,8.5090327906495,0.00209546705963547,-1,-1
BPI,5.88553986170395,-0.989395603079835,0.791489921047366,-0.815608864446353,0.608219604098166,0.424262940061806,0.549838593984635,0.966116268295987,0.397505053401818,0,0
Cardiolipin,9.28247221345897,3.58558866812768,5.6080783504055,2.18785962351692,3.40082873322582,0.0406328088933457,0.00281405901888043,6.00258941401317,0.00901826093894665,1,1
CENP-B,7.82340977773355,-3.82817651397666,-0.239276135260148,-3.46033080120705,-0.214773296799413,0.00245190693164158,0.832103353188262,7.27671453791477,0.0041827103526085,-1,0
COL3  ,8.54288039067838,-8.25080844102945,-9.49486029457935,-5.35498594074136,-5.73352633351464,2.9844592927986e-05,1.27019905106698e-05,20.9585423820891,1.19672438099131e-05,-1,-1
COL5,11.9391812373857,-4.03369285114646,-4.62545666465491,-4.45628546540088,-4.61128862103327,0.000238502809529261,0.000166033207872904,13.981161815567,0.000155654186115075,-1,-1
C1q,10.493924782147,-3.58279503340787,-3.35301616547934,-3.04398446414613,-2.75092320822416,0.00637136862024567,0.0122686163089961,5.74621469804657,0.0106035399753947,-1,-1
C3,6.9224712490413,-2.1534885795744,0.520027867092742,-1.40560577690155,0.341573204520491,0.175077185844665,0.736209422396573,1.63610920081155,0.219573931188291,0,0
C4,5.72362948952788,1.63395265580658,2.93573159106553,1.11998417564145,1.97526591009536,0.275896376587387,0.0621001352533482,1.97376110500982,0.16489828153527,0,0
CytC,4.95827197629125,-7.17543005494208,-7.99479123462911,-6.29872937445826,-6.64120383678162,3.65742038927702e-06,1.75381896440612e-06,28.5047985596726,1.33595008619981e-06,-1,-1
DFS70,7.81590466452993,-6.68423368730801,-4.20300073272198,-4.89069340001931,-2.85785739883614,8.67087078307662e-05,0.00967930681056908,12.1555794086306,0.000344696912857863,-1,-1
dsDNA,11.8413509967252,1.24360845886139,1.39572167002682,1.02124763164157,1.10717338457127,0.319245675419812,0.281264784963428,0.773194593460837,0.474755955128971,0,0
FBG IV,15.7732687229775,-0.615957850910283,-0.945667428690424,-0.721237475863792,-1.04496642610615,0.47905112597373,0.308416283717836,0.579582276551447,0.569201626050043,0,0
FBG S,14.4891488724616,-0.831648473324147,-0.786068022992524,-0.880576621059654,-0.809104963907682,0.388932020667151,0.427908156895392,0.487500727493155,0.621219567661486,0,0
GAD65,11.5323144826422,3.59219423515538,2.50402671117806,2.92990954684461,1.90899100042577,0.00823913256700325,0.0706124228511464,4.47127999909418,0.0247192250170585,1,0
gDNA,14.2098009425091,2.53651565020285,3.04297053712192,2.68090360325478,3.16421265553404,0.0143082650131708,0.00484753290849156,5.9153687611034,0.00952625649384163,1,1
Gliadin,11.5966566552943,3.47706675090705,3.49520824033658,2.24859626823211,2.20363281778815,0.0358819693771444,0.03934673198956,3.36888517313121,0.0546825598703043,1,1
GP2,13.7690239317786,1.88928711927477,3.9837029333048,1.75800727015375,3.84101618259248,0.0939319427693653,0.0010091942090075,7.37848569578222,0.00394341287764584,0,1
GP210,7.43504124138581,4.42782719330213,7.76003831810064,2.26579735961682,3.95225845506143,0.0346321257312096,0.000777592292418155,7.91441600804303,0.00290772122501666,1,1
Histone,12.2039747919774,-1.54742100846169,-1.18535661170239,-1.40680852036194,-1.03331179737454,0.174724984167432,0.31370443337113,1.07762691125331,0.359231542709106,0,0
HSPG,10.7583312525937,-1.9623632956042,-0.200388776044999,-1.63083389404466,-0.164969687472265,0.118461596731843,0.870612037969432,1.56418880144564,0.233632717847416,0,0
IA-2,11.2627491946789,5.94249250239741,5.32803745169346,4.53429292398401,3.88578873011727,0.000198734838519492,0.000908704610276425,12.2448387436506,0.000331059926670289,1,1
IF,9.73081448509569,1.51054995325526,4.39358521007734,1.26575236899629,3.67039961235358,0.220045367275444,0.00150397248061801,6.87461406210456,0.00529707973892675,0,1
Jo-1,13.1219163991655,5.43957424552397,4.76560426415487,4.19563940630098,3.60949027847496,0.000439313407400587,0.00173352563123842,10.5131553211318,0.000746836638388926,1,1
KS,8.72876879340136,2.49229864348144,4.1451142594703,1.79758854142787,2.88319357398852,0.0872494442634689,0.00914734084508797,4.27997768991419,0.0282459250063591,0,1
KU P70P80,10.0461089713092,1.58703344836764,1.27900190056466,1.37377729946058,1.01197224564427,0.184606161737124,0.32355259944631,1.02898007178229,0.375406158444608,0,0
La SSB,10.3180837327285,-0.399653454438289,2.21499058992208,-0.361525114871566,2.02223252852726,0.721471101796876,0.0566329963941778,3.15604352611411,0.0642201406600219,0,0
Laminin,5.08641352205027,-4.46040128152414,-3.85171018161715,-2.66195094282327,-2.08653467984528,0.0149133781235285,0.0498471888772053,3.98764921109465,0.0347514610943608,-1,-1
LC1,10.9584304371054,1.44169831509253,1.7323154140895,1.28053099183744,1.46389090970196,0.214906628063632,0.158654480040627,1.29560547102897,0.295584791056876,0,0
LKM 1,8.62038260488452,2.29787270110811,1.86128859700757,2.08690330867034,1.64203673204721,0.0498104940026969,0.116102134028047,2.45613762557959,0.111036134710354,1,0
M2,8.82892937977016,-3.96339249413047,-3.01805296138757,-3.19994097248233,-2.51403180575398,0.00446744219296718,0.0205381983654825,5.769843378733,0.0104453165779122,-1,-1
MBP,10.5997117290547,-5.92629420297203,-4.71065663111242,-6.09170781947345,-4.88148042477895,5.74469214442215e-06,8.85789851029834e-05,21.1511987724524,1.12439664047008e-05,-1,-1
Mi-2,9.07965025692466,4.61563616133709,5.12027470963086,3.06729365954506,3.19811921431866,0.00604360969660462,0.00448610070028008,6.67781027318337,0.00595844761962393,1,1
MPO,9.53960425361278,-2.01013254573345,-2.25504839833617,-1.91872428004326,-2.14987941866186,0.0693009778523052,0.0438881105388108,2.83781103373011,0.0820712517301164,0,-1
MYO,11.1595104260586,-1.66002315828279,-2.40537368291986,-1.55407409386928,-2.04671787802322,0.135737168011628,0.0539570309886292,2.31773100505083,0.124181954810567,0,0
NCL,14.1699515562009,-3.96501710963516,-3.92303650998439,-4.34385040392623,-4.19936349943535,0.000310341683655484,0.000435491961765395,12.4106958247564,0.000307267919416565,-1,-1
Nucleosome ,10.4626888169876,-1.90557413753233,-0.61747164740706,-1.66616401888817,-0.523559681864246,0.111155295192167,0.60629716997471,1.43213832251862,0.26209423171722,0,0
Nup62,14.0027104092021,1.95935857435764,-1.3450476514636,1.61132906714714,-0.932219827957489,0.122666030334888,0.362261953214139,3.13818479954799,0.0650999685880702,0,0
NXP2,10.3095530424711,0.824578110958763,5.59559894159731,0.551729954247765,4.11091144093678,0.587202286342866,0.000535933700060945,9.68502946603558,0.00112937570159411,0,1
OGDC-E2,7.04844287476099,-1.36514588123804,-0.331299918914444,-1.27451957339163,-0.30778751409288,0.216985554769633,0.761403687694374,0.867398801186788,0.435149808800183,0,0
PCNA,7.99831099133642,1.4418290737778,0.513687233897306,1.16592574138426,0.408077646935437,0.257263536141053,0.687521409178381,0.692571055086713,0.511811502466023,0,0
PDC-E2,8.55842975628443,0.124858114997606,-0.269177333401524,0.0910788005348201,-0.194934450539296,0.928329550257993,0.84739685451842,0.0405217240277941,0.960366370017217,0,0
PL-7,10.8907620064012,2.97796482410256,2.48620283371457,2.66191709018602,2.06078169415637,0.0149144803293585,0.0524718344608447,3.9604642797998,0.0354355427251473,1,0
PL-12,10.1153551376964,-0.691108074130204,0.82767065002807,-0.578495953997756,0.675434661310387,0.569341131793566,0.507079479902988,0.745238050977721,0.487260023270528,0,0
PM Scl75,7.01975168282476,5.53617832179798,4.63315186130044,3.12131482459947,2.50626526176534,0.00534553161473882,0.0208827221790698,5.55976592008977,0.011948590268457,1,1
PM Scl100,6.47410275304051,-1.26150811625337,-1.66317226901628,-0.924851834436099,-1.13850679203605,0.365989966200311,0.268267948845596,0.744954275022702,0.487388788934147,0,0
Ro SSA 52,4.04904278886893,1.27253030375469,-0.0288791328651543,1.18664169602344,-0.0253699734495177,0.249175351285113,0.980009496082632,0.923879237725185,0.413154630042351,0,0
SAE1 SAE2 ,9.96030665243947,8.48094133582219,4.0757309592309,5.16132341272357,2.1570681368031,4.64607539783144e-05,0.0432543492735257,13.3686010545412,0.000201838750570464,1,1
Scl70,12.0070444362401,-7.25469502215848,-6.22670635316459,-7.41402281368974,-5.93383041478125,3.53551939192159e-07,8.13480517987137e-06,31.3075010101416,6.59168770435017e-07,-1,-1
Sm,11.0581973168911,1.45071228690932,-1.4107550022467,0.956404186577914,-0.841502629009344,0.350205789586187,0.409945037955913,1.53104402911538,0.240442435122328,0,0
Sm RNP,8.81561623839745,2.9275705965632,-0.509497173943845,1.54117380793612,-0.244745261888779,0.13883694793225,0.809129411910338,1.79404701036051,0.191852922190457,0,0
SmD,6.39438425498069,3.50053054993938,-0.064339128608057,1.75525957058666,-0.0301285204923623,0.0944118143368897,0.976261051801605,2.01323752134741,0.159552742882023,0,0
SmD1,8.30178254456904,5.74408383352772,3.85296610783337,3.95413126751918,2.51828316158009,0.000774184861179522,0.0203518715906493,8.09277938330835,0.00263262166376498,1,1
SP100,6.64751507393349,1.53647228416684,0.700826340348064,0.893938314698698,0.397556385378143,0.381910984230035,0.695138395671587,0.399928532292608,0.675573716749409,0,0
SRP54,9.96645137809558,-4.84490607860075,-6.09320548122013,-4.86931745997486,-5.86880468301371,9.11108900999447e-05,9.39614722212974e-06,20.0638272993839,1.6068493954887e-05,-1,-1
B2GP1,12.4764234894091,-8.16900266730569,-5.59617196482053,-6.98392103940833,-4.76209494425164,8.53606519448394e-07,0.000116857562433036,25.7764298157692,2.79675491344959e-06,-1,-1
ssDNA,16.7495603950263,0.708881702130501,1.10712170576059,0.855342095338984,1.25344135377778,0.402420700003864,0.224398060842971,0.830519877746214,0.450204797071269,0,0
T1F1 g,8.56246706919162,4.26792775632654,4.44811056671898,2.19094979184488,2.17113046083307,0.0403778713281845,0.0420385915944984,3.23310776896208,0.0605705524623107,1,1
Tg,7.03470082199528,-2.53241269041036,-2.44367747063669,-1.46548722156705,-1.30668385081219,0.158222940579166,0.20604159807245,1.31764088055353,0.289875227748508,0,0
TPO,12.4482582752156,5.24969904204661,4.07301403472515,4.13954608725418,2.96530105519492,0.000501107836532423,0.00760945909805032,9.22877409357233,0.00142902673053278,1,1
tTG,11.63908544639,4.63264980448647,4.44069683971363,3.88370787048021,3.61170062592679,0.000913146384614021,0.00172461998651827,9.58048949561046,0.00119136700991368,1,1
snRNP A,14.3363311678783,-1.23160043771077,-3.25920850459411,-1.27299114598047,-2.93393594630953,0.21751660423843,0.00816504556210896,4.3117798908165,0.0276231807176067,0,-1
snRNP C,7.99843128015473,-5.90222282244286,-8.59787878866005,-3.81838858058017,-5.48756243240694,0.00106410685376104,2.20895508158868e-05,16.0316653861477,6.8281060400359e-05,-1,-1
snRNP B B',6.84510627863221,1.07932659960309,-2.37589488683992,0.512967176344639,-1.05688309297089,0.613553784084994,0.303075137775652,1.21582135516364,0.317315377007054,0,0
VIM,12.9179505869113,1.20963513522167,-0.524809616087888,0.731778044155219,-0.277721708572413,0.472731925545574,0.784056231814516,0.517008951294731,0.604002217588655,0,0
VTN,10.7449541810578,-1.18328574549609,-1.03256886329737,-0.660811027631334,-0.533379415063343,0.516220046854906,0.599607064640694,0.249981114862799,0.781195808795159,0,0
