"","logFC.NOD","AveExpr.NOD","t.NOD","P.Value.NOD","adj.P.Val.NOD","B.NOD","Antigen","logFC.NOR","AveExpr.NOR","t.NOR","P.Value.NOR","adj.P.Val.NOR","B.NOR"
"Scl70",-3.85526563791122,11.6761569144824,-9.55731475398442,6.13609175200515e-08,2.63851945336221e-06,8.64483061828806,"Scl70",-2.79305512108055,11.6761569144824,-5.44802541033952,5.75830730958777e-05,0.000764420685382034,2.00248688812535
"TPO",-3.44978193915876,11.2594599867497,-7.54936161420655,1.32379829883e-06,2.79927627512396e-05,5.64341993625677,"TPO",-3.4132467338215,11.2594599867497,-6.53140424862827,7.63771568408794e-06,0.000164210887207891,3.95307330234609
"CENP-A",-4.08995562884962,12.9001019565223,-7.31637136916142,1.9529834477609e-06,2.79927627512396e-05,5.24954708513524,"CENP-A",-1.03792881282871,12.9001019565223,-1.83291732394656,0.0858704401035971,0.175829948783556,-5.17367892690334
"CytC",3.8414362211393,10.004394011893,5.67678035678084,3.70969735659635e-05,0.000398792465834108,2.41367604031565,"CytC",1.3754492479745,10.004394011893,2.18425509879621,0.0444965550920123,0.115133762719818,-4.48521181185778
"IF",5.53914902551908,11.5785130334892,5.01562250049793,0.000134623798276727,0.00115776466517985,1.10719558104253,"IF",8.10659759156843,11.5785130334892,9.63549417408279,5.49585236647008e-08,2.36321651758213e-06,8.75358398078293
"BCOADC-E2",-2.22002326078169,11.6434702226557,-4.77089824890379,0.000219846411490218,0.00157556594901323,0.631499471622307,"BCOADC-E2",-0.741995381508488,11.6434702226557,-1.31983961355875,0.205833655027941,0.354033886648059,-5.60982894003638
"Gliadin",2.7742358556648,10.8303353899311,4.30470189214662,0.000569139790033378,0.00349614442449075,-0.243357677686567,"Gliadin",1.79557695248803,10.8303353899311,2.5649405736543,0.0210043681161279,0.0903187828993501,-3.63534028697085
"ssDNA",2.40714529529959,14.1313768725874,3.59358311536796,0.00250053635968589,0.0119470070518326,-1.80936183017148,"ssDNA",3.3160007693007,14.1313768725874,5.3394905004866,7.11089009657706e-05,0.000764420685382034,1.66024366250319
"GBM",-1.19812089807884,10.6660348285441,-3.49511515994317,0.00307296501981727,0.0132137495852142,-1.88236444784923,"GBM",-0.909695198637147,10.6660348285441,-2.36860374068798,0.0310633781426249,0.095408947152348,-3.97117140611611
"MBP",-0.956512940181085,16.7205193010058,-3.70225845014378,0.00199186807697882,0.0107062909137611,-2.08682225619448,"MBP",-0.513192281954627,16.7205193010058,-2.24235229220695,0.0397691594545164,0.114004923769614,-5.10323327564899
"DFS70",-1.68572184158993,10.84167418402,-3.06753349294348,0.00750137545835368,0.0268799287257673,-2.77442678342834,"DFS70",-2.15242607412222,10.84167418402,-3.62869198685497,0.00232336030394011,0.0166507488449041,-1.59092662490079
"LC1",1.09772418554406,9.13753249410038,3.08621116208802,0.00721596562765291,0.0268799287257673,-2.88426304617408,"LC1",0.5,0.5,0.5,0.5,0.5,0.5
"VIM",-1.95172481082487,12.3797494576491,-3.00231179057587,0.00858764194318822,0.0284052771966995,-2.92843703473063,"VIM",-1.58912423199405,12.3797494576491,-2.17245741098383,0.0455179992148117,0.115133762719818,-4.37867493663937
"PM Scl100",-1.56499554286777,13.8005651557978,-2.93052259158196,0.00996164360705574,0.0305964767930998,-3.11550648227748,"PM Scl100",-0.852388461757837,13.8005651557978,-1.7852290798016,0.093577917399828,0.182902293099664,-5.27704684541777
"SmD",1.57309135975093,9.22364230115409,2.78161292734107,0.01352892293961,0.0387829124268819,-3.4491965492314,"SmD",0.5,0.5,0.5,0.5,0.5,0.5
"Sm",-2.09137527920303,11.4246436115012,-2.32276572959461,0.0339938622886232,0.081207559911711,-4.22700481888609,"Sm",-3.45015710278264,11.4246436115012,-3.75789618038439,0.00177307793136475,0.0152484702097368,-1.39904724624641
"GP2",1.23048162541007,11.6507664443331,1.41995671180955,0.175196432676195,0.258590702040419,-5.52178282321666,"GP2",2.45510384570139,11.6507664443331,3.01325962819123,0.00839510355026499,0.0451236815826743,-2.85056516227451
"SRP54",0.5,0.5,0.5,0.5,0.5,0.5,"SRP54",-1.58698024802983,9.49047767368371,-3.08085091473173,0.00729676432516891,0.044822980854609,-2.80170598732179
