"","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","Antigen","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y"
"Scl70",-6.60529918466996,10.7944968983914,-7.51717834095152,2.72208209733204e-07,1.67604709688863e-05,6.61321624462365,"Scl70",-6.93785127702207,10.7944968983914,-7.29685453277359,4.26098777786764e-07,2.94008156672867e-05,6.09403481041755
"DFS70",-7.15254261555795,6.07554718501983,-7.23297264440352,4.85810752721342e-07,1.67604709688863e-05,5.75119952790388,"DFS70",-5.84342956527551,6.07554718501983,-5.71823736834754,1.27329749253785e-05,0.000219643817462778,3.04471722479528
"B2GP1",-7.54509361035969,10.1732733456533,-6.95895726782768,8.57982900198012e-07,1.97336067045543e-05,5.55521646881892,"B2GP1",-5.13332019283851,10.1732733456533,-4.58591030365246,0.000172790983234414,0.00099354815359788,0.918894099483428
"tTG",6.70334380450045,10.4915351275168,6.47473595560326,2.40201627168113e-06,4.14347806864994e-05,4.61037923574798,"tTG",5.86554904447113,10.4915351275168,5.37408202730036,2.77920812712362e-05,0.000326838614803667,2.4668899059565
"COL3  ",-8.48251061092188,6.58660143492462,-6.2213249970794,4.16699756995597e-06,5.75045664653924e-05,4.07762820032994,"COL3  ",-9.58488365624678,6.58660143492462,-6.52973363290881,2.13365057185862e-06,4.90739631527484e-05,4.49832167128461
"GBM",-6.50394843328062,7.93789190406402,-5.9305035534532,7.91885162752029e-06,9.10667937164834e-05,3.57827250971552,"GBM",-7.743100543379,7.93789190406402,-6.58297825330365,1.90314969633121e-06,4.90739631527484e-05,4.66040550471546
"Mi-2",7.94450587624466,6.82956208621051,5.74396608579267,1.20173701963318e-05,0.000118456934792413,3.1258938931142,"Mi-2",7.62104339746391,6.82956208621051,5.21051387830802,4.04428136194449e-05,0.000326838614803667,2.0479699483091
"SAE1 SAE2 ",7.67532564551144,7.97189863225986,5.56604804513657,1.79542682493621e-05,0.000154855563650748,2.82222255106839,"SAE1 SAE2 ",4.95662556808363,7.97189863225986,3.34529869141269,0.0031717226254582,0.00875395444626465,-1.63835807376396
"COL5",-4.68496547727885,9.84086096537122,-5.09261081222416,5.30795859058281e-05,0.000406943491944682,1.97465312366272,"COL5",-5.22238898852322,9.84086096537122,-5.27820116794268,3.46170830215076e-05,0.000326838614803667,2.3007217878574
"MBP",-4.00711137603088,11.8620436769835,-4.77953886985545,0.000109847725990837,0.000730540076120028,1.34445064089594,"MBP",-3.10603567550209,11.8620436769835,-3.54865924211995,0.00197722010622476,0.00649658034902422,-1.24966603168532
"SRP54",-4.06783355636021,9.52501260229518,-4.754491966443,0.000116462910685802,0.000730540076120028,1.26988747563411,"SRP54",-4.89598950117112,9.52501260229518,-5.35243087423204,2.92027195709147e-05,0.000326838614803667,2.43326754839631
"NCL",-4.25246214234385,13.2996609960916,-4.64035119376333,0.000152097036154594,0.000874557957888918,1.05897252703268,"NCL",-4.15328011048513,13.2996609960916,-4.32728254892616,0.000317256775471367,0.00145938116716829,0.389667952342817
"LKM 1",4.93126354477533,8.16481271544703,4.57528183983117,0.000177151151851367,0.000940263805980331,0.867186021756158,"LKM 1",3.3425253706421,8.16481271544703,2.91780609921159,0.00841618742761009,0.0223352666348114,-2.47365060932079
"Jo-1",5.47395166237492,11.0891231471677,4.28897229035405,0.00034719401279187,0.00171117049161707,0.299925871665671,"Jo-1",5.56474807148441,11.0891231471677,4.32796668612748,0.000316746400913446,0.00145938116716829,0.379719753322137
"IA-2",5.02747607419314,10.5866016898783,4.09913886970146,0.000542922094339475,0.00249744163396159,-0.097350957869331,"IA-2",4.90677652841558,10.5866016898783,3.84612272753788,0.000984848933600244,0.0037752542454676,-0.624801642898288
"BCOADC-E2",-3.8727476515375,8.14033088270056,-4.04560585035044,0.00061588079421769,0.00265598592506379,-0.213958472072629,"BCOADC-E2",-2.8485010014164,8.14033088270056,-2.88189798203085,0.00912198686062858,0.0232378095478121,-2.55560257201236
"snRNP C",-5.08336898283003,7.36216308277531,-3.91132784292941,0.000844842958646956,0.00342906847921412,-0.490527165215289,"snRNP C",-6.58308994565562,7.36216308277531,-4.72002424771727,0.000126230165219826,0.000791807400015275,1.12777677548582
"CytC",-4.70646423082899,3.69585245024606,-3.85227151790531,0.000970716685481405,0.00362749405889793,-0.625049811157271,"CytC",-4.85384748076905,3.69585245024606,-3.74730592305757,0.00124210240842022,0.00451079295689447,-0.849117803702755
"CENP-A",-3.40934569264172,7.25590479337059,-3.8294730552843,0.0010241504591345,0.00362749405889793,-0.660803010449751,"CENP-A",-3.71978784279581,7.25590479337059,-3.97908203717494,0.000720320186086497,0.00310638080249802,-0.364574780476694
"GP2",3.26869984278631,14.2273819941289,3.81827822499375,0.00105144755330375,0.00362749405889793,-0.702929719910604,"GP2",4.41450403607293,14.2273819941289,5.18762297143071,4.26311236700435e-05,0.000326838614803667,2.21533801280904
"CENP-B",-3.61841466297176,7.06312151771023,-3.54122351251226,0.00201181863959814,0.0066102612443939,-1.2481474225146,"CENP-B",0.5,0.5,0.5,0.5,0.5,0.5
"TPO",3.69399667513807,12.5091390028039,3.44011658121766,0.00254578093592899,0.00798449475359546,-1.48376255903097,"TPO",2.93416459952772,12.5091390028039,2.61375843836712,0.0164921352680356,0.0392399080515329,-3.1164758746971
"M2",-3.24988680351874,8.98482778474469,-3.33410729331722,0.00325488380408424,0.00976465141225271,-1.67541923573691,"M2",-2.14870504980482,8.98482778474469,-2.122581783733,0.0462638194003255,0.0886723205172906,-3.93530749345055
"KS",4.22501985709266,7.78644377969959,3.16568330207553,0.0047957634420867,0.0137878198959993,-2.0019773358988,"KS",4.84031638026381,7.78644377969959,3.45301555880549,0.00247059416446208,0.00741178249338624,-1.42489272194545
"PL-7",2.6593464779371,10.8543253790776,3.14450838263489,0.00503382135123787,0.0138933469294165,-2.06135656253236,"PL-7",3.19331125120297,10.8543253790776,3.68206291567403,0.00144739940353796,0.00499352794220596,-0.962562348691023
"TNF a",4.41593370843576,5.23229587925083,2.98535335123083,0.00722811909864192,0.0184718599187516,-2.34499985370685,"TNF a",2.55622333688015,5.23229587925083,1.61287285368125,0.122199480073401,0.190064183587323,-4.62273076396212
"GAD65",3.6038818189651,12.3500209997136,3.00008618686301,0.00699134032520072,0.0184718599187516,-2.37943031136154,"GAD65",3.15587175753691,12.3500209997136,2.54030601024834,0.0193352950330177,0.0430366244283297,-3.2531046828527
"MDA5",-2.7775145461767,6.52945901452551,-2.92546578400056,0.00827256776283416,0.0203859705584128,-2.46731037468548,"MDA5",0.5,0.5,0.5,0.5,0.5,0.5
"OGDC-E2",-2.71070228646855,6.82101375118235,-2.68228622504425,0.0141993145663883,0.0326584235026931,-2.9312850071113,"OGDC-E2",-1.82501181040348,6.82101375118235,-1.75079169812477,0.0950694516969829,0.166432211047627,-4.47869170162968
"PM Scl100",-2.31312719558577,10.1050190038987,-2.68592650351102,0.014086377998568,0.0326584235026931,-2.967322584088,"PM Scl100",0.5,0.5,0.5,0.5,0.5,0.5
"Gliadin",3.89010726327409,9.23633675055098,2.65997179961879,0.0149105667062629,0.0331880355720046,-2.98893340813984,"Gliadin",3.95136227161082,9.23633675055098,2.58704443754222,0.0174772536627681,0.0401976834243666,-3.10525928087399
"PM Scl75",3.31724110605787,8.00532009918331,2.60521824171995,0.0168012274046943,0.0362276465913722,-3.09164931524213,"PM Scl75",0.5,0.5,0.5,0.5,0.5,0.5
"Laminin",-3.40787247577279,5.48231677410333,-2.49908792119863,0.0211262250598651,0.0428738096803144,-3.25825329364116,"Laminin",-3.11630144156639,5.48231677410333,-2.18656815276616,0.040635994928695,0.0824023869463133,-3.77832198571017
"gDNA",2.49988352629994,14.0234763792278,2.57257097190256,0.0180338737261987,0.0377071905184155,-3.26566612688439,"gDNA",2.81479548537083,14.0234763792278,2.86706373011129,0.00942983575853245,0.0232378095478121,-2.68480351197116
"snRNP A",-1.99382027693687,14.4705720700198,-2.39379436201143,0.0264297628388945,0.0521043895966777,-3.66275466368292,"snRNP A",-3.5775355050357,14.4705720700198,-3.86102948298683,0.000950934793512331,0.0037752542454676,-0.610092448819548
"La SSB",1.8112988412718,9.35335205229611,1.92158112790951,0.0687996549569083,0.121722466462222,-4.27355934073668,"La SSB",4.6508839889128,9.35335205229611,4.90524163419449,8.19592935718875e-05,0.000565519125646024,1.54460473603211
"IF",1.87882623449713,8.11367089815598,1.86305268122947,0.0769783872816488,0.129548993230092,-4.34284322260891,"IF",4.65878199118247,8.11367089815598,4.50184217720727,0.00021046769084837,0.00111709774373365,0.701386622233915
"GP210",0.5,0.5,0.5,0.5,0.5,0.5,"GP210",5.11047843828937,8.70045563915145,3.49587256752913,0.00223611492614799,0.0070132695411005,-1.34085634965224
"NXP2",0.5,0.5,0.5,0.5,0.5,0.5,"NXP2",5.1077512356533,9.47806352524741,3.40113099595747,0.00278693606650331,0.00801244119119701,-1.54168621099703
