"","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","Antigen","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y"
"Scl70",-7.52854933027712,11.8192682401556,-9.36984195310874,8.46112984035837e-08,5.58434569463652e-06,7.35030864929164,"Scl70",-7.21566038892504,11.8192682401556,-8.54212651125071,2.86355126467233e-07,1.88994383468374e-05,6.29100509838144
"B2GP1",-8.4818703778453,12.2750039112761,-7.87268729972779,8.14694643607138e-07,2.68849232390356e-05,5.57965260837086,"B2GP1",-6.28642030222871,12.2750039112761,-5.19711390470973,9.59255355906333e-05,0.000703453927664644,1.45613284339638
"MBP",-6.14998393649007,10.4343928414348,-7.50686406106905,1.47745080586217e-06,3.25039177289678e-05,4.81396463555411,"MBP",-5.41999101202267,10.4343928414348,-6.79888731734954,4.91613091494538e-06,0.000108154880128798,3.92654170749182
"CytC",-7.78170744749471,4.59980523931881,-6.83799716479913,4.59213946399342e-06,7.57703011558914e-05,3.8173779400671,"CytC",-9.35550675225967,4.59980523931881,-6.94771558641626,3.79694745185025e-06,0.000108154880128798,3.5356152907606
"DFS70",-6.89238409560397,7.37030432407217,-6.44676123820334,9.16844279414526e-06,0.000121023444882717,3.21493196810688,"DFS70",-6.2945268779509,7.37030432407217,-4.64472356799964,0.00028840744930009,0.001359635118129,0.192242179077176
"SRP54",-5.0692472568925,10.0722561269932,-5.70195235712602,3.62339803661696e-05,0.000398573784027866,2.27213187870355,"SRP54",-6.30951771742555,10.0722561269932,-5.75521916940522,3.27602812224766e-05,0.000383910328437899,2.04959372634619
"COL5",-4.16894217855377,12.2728126835389,-5.61773043937768,4.25259976345809e-05,0.000400959406268905,2.26752362040251,"COL5",-4.17326162439204,12.2728126835389,-4.68851909392382,0.000263980014989386,0.00134020622994611,0.571888090024438
"IA-2",6.19594892465931,11.447463335036,5.42453598066451,6.16164824482558e-05,0.00050833598019811,1.79021337712151,"IA-2",6.68156828214046,11.447463335036,5.72986085606796,3.43687371932951e-05,0.000383910328437899,2.24788927166943
"tTG",4.99360404566501,11.7512213680658,5.05698214829375,0.00012640652813918,0.000828851336150787,1.24463591017031,"tTG",5.70373649314357,11.7512213680658,5.64053683904268,4.07177621070499e-05,0.000383910328437899,2.19710832587056
"COL3  ",-8.61065509147613,8.54860657077083,-5.01214797162807,0.000138141889358465,0.000828851336150787,1.09043683034518,"COL3  ",-10.5932563003555,8.54860657077083,-5.06803357672047,0.000123674880622073,0.000742049283732436,0.954321343806045
"BCOADC-E2",-4.7645092528561,9.01915106227109,-5.01878875159193,0.00013633522022303,0.000828851336150787,1.0405367120601,"BCOADC-E2",-4.06305909135344,9.01915106227109,-4.18246059838418,0.000741974876631984,0.00306064636610693,-0.372980301257432
"TPO",5.47754175323373,12.6942821360578,4.83410180679561,0.000196985000719982,0.00104249945675488,0.891220843087328,"TPO",5.38365424174683,12.6942821360578,4.46769571849764,0.000413240233402532,0.00181825702697114,0.216270259355949
"C1q",-3.62004945619593,10.022989352251,-4.81337306897035,0.000205340802088082,0.00104249945675488,0.791868697522589,"C1q",-4.72918197331968,10.022989352251,-5.65358003970084,3.97196174622396e-05,0.000383910328437899,2.04811111124144
"NCL",-4.11103904920802,14.2878437350951,-4.73430677913546,0.000240701680395897,0.00113473649329494,0.72422835516222,"NCL",-3.9804579760638,14.2878437350951,-4.13953499612204,0.000810727512218464,0.00314753034155404,-0.381662646829851
"SAE1 SAE2 ",8.72083034758264,10.1086292326181,4.63333398755445,0.000295131746008295,0.0012985796824365,0.451854457182169,"SAE1 SAE2 ",4.82569244603045,10.1086292326181,2.18420096627006,0.0446046929629794,0.0865855804575482,-3.7622843145206
"Jo-1",5.60451137463752,12.7898079467854,4.4995815418803,0.000387234235760268,0.0015973412225111,0.2856550079788,"Jo-1",4.47404743567486,12.7898079467854,3.30766994297166,0.00458091627554257,0.0143971654374195,-1.9239957736588
"snRNP C",-6.14805161794132,7.95549595830091,-3.84249611734786,0.00150132590390686,0.0058286770386972,-0.95250057160874,"snRNP C",-9.89866187519607,7.95549595830091,-5.44364453691974,5.9384701178547e-05,0.000489923784723012,1.52226874911213
"SmD1",5.83741306781142,8.01420285069708,3.57836456954729,0.00260412047372634,0.00954844173699659,-1.41657965390657,"SmD1",3.47794496262852,8.01420285069708,1.96569589053102,0.0674153842361548,0.120254469178006,-4.10570441888772
"M2",-3.90420287145963,8.58495369441036,-3.48385027380457,0.00317208695239464,0.0110188283609498,-1.58622049266699,"M2",-3.63731084309789,8.58495369441036,-2.93075137753066,0.0100090058376194,0.0265862200099542,-2.54660126084512
"CENP-B",-3.89433767896191,7.50398315730882,-3.43924698780652,0.00348156884370275,0.0114891771842191,-1.66419103199071,"CENP-B",0.5,0.5,0.5,0.5,0.5,0.5
"GAD65",3.93628069793342,11.3663031036045,3.32491128510334,0.00441923140035164,0.0138890129725337,-1.89569372687409,"GAD65",2.59116845487632,11.3663031036045,1.87038648854188,0.0803354046902653,0.137879518608557,-4.3107354019864
"gDNA",2.68626265061529,14.2873481009369,3.13291452262014,0.0065890696993819,0.0197672090981457,-2.28311396011072,"gDNA",3.49629886272253,14.2873481009369,3.97440792071183,0.00114127426281915,0.00396442638663494,-0.690305330863619
"Mi-2",4.96824384871987,8.89707481641533,3.03510533946799,0.00806951226072805,0.0231559917046979,-2.3778279835901,"Mi-2",5.68760462001972,8.89707481641533,3.14407662243573,0.00643814776496642,0.0193144432948993,-2.18421028236726
"Laminin",-5.21427380735357,4.58306419545363,-2.86662422647994,0.0114194706308191,0.0301474024653623,-2.66330193551304,"Laminin",-5.44245100820525,4.58306419545363,-2.58224914685719,0.0203600153461826,0.0433471294467114,-3.11251944211101
"PL-7",2.93439983968269,10.9542379578182,2.89221002845533,0.0108349013838564,0.0297959788056052,-2.67937466615785,"PL-7",2.93091617480382,10.9542379578182,2.5889636365642,0.0200867929193285,0.0433471294467114,-3.16905136898602
"T1F1 g",4.46905388018051,8.78262274875897,2.35839302745436,0.0317862226691763,0.0749246677202012,-3.5211411293184,"T1F1 g",5.95058538581878,8.78262274875897,2.92777480756723,0.0100705378825584,0.0265862200099542,-2.55293119413788
"MPO",-2.04518441761501,9.3257516242324,-2.37912677102384,0.0305148990590951,0.074591975477788,-3.53700176756819,"MPO",-2.78283278702546,9.3257516242324,-2.95164503958338,0.00958730563518909,0.0265862200099542,-2.52275865559355
"GP210",4.75853878612995,7.52607953888751,2.28423659070299,0.0367522207717653,0.0836429852047073,-3.62768498274772,"GP210",9.85502757642568,7.52607953888751,5.08573973635913,0.00011942448055899,0.000742049283732436,1.17874822225375
"Cardiolipin",3.62637019110033,8.83304343481968,2.03974871581691,0.0587056554218624,0.11395803699538,-4.02246725954101,"Cardiolipin",5.39654598050824,8.83304343481968,2.81696469066558,0.0126428862060387,0.0298010889142341,-2.7398392530494
"Tg",-2.72832366212578,6.50955835681455,-1.80873836228722,0.0898279080429475,0.160233565698231,-4.36506214824167,"Tg",-5.07612266501545,6.50955835681455,-2.84747326891364,0.0118769937741834,0.0290895391409127,-2.68386746799305
"GP2",1.9666416056959,13.6026021617153,1.85901536073139,0.0820161213123514,0.150362889072644,-4.44576834004913,"GP2",4.0884978667415,13.6026021617153,3.98717880108382,0.00111142435370811,0.00396442638663494,-0.665560342899857
"KS",2.50999928983054,8.57737044580458,1.71842865519798,0.105520072425979,0.183271704739859,-4.47644102912506,"KS",4.44947834333614,8.57737044580458,2.8465184203097,0.0119002660121916,0.0290895391409127,-2.6890417701142
"snRNP A",-1.23668054807709,14.8683256120324,-1.61388166471688,0.126618994323136,0.208921340633175,-4.96709247643468,"snRNP A",-2.28299052808354,14.8683256120324,-2.64510142622017,0.0179359373526941,0.0408197194923382,-3.19292218871481
"IF",0.5,0.5,0.5,0.5,0.5,0.5,"IF",5.29254418663163,9.67095072146778,4.98512995175437,0.000145750283412673,0.000801626558769702,1.01682043322335
"NXP2",0.5,0.5,0.5,0.5,0.5,0.5,"NXP2",5.0244979519089,9.62933727464731,3.80110307035572,0.00163646463534897,0.00540033329665159,-1.01440458178864
